                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5392,                 1.1181,                 1.1318,                0.19699,                0.39432,                0.22653,                0.08309,                 2.0954,                 2.5256,                 1.0215,               0.068256,              0.0022556,              0.0022556
                     35,                 1.4724,                 1.1004,                 1.0579,                0.19699,                0.39432,                0.22653,                0.08309,                 2.0954,                 2.5256,                 1.0215,               0.067287,              0.0022873,              0.0022873
                     36,                  1.522,                 1.2116,                 1.1319,                0.19699,                0.39432,                0.22653,                0.08309,                 2.0954,                 2.5256,                 1.0215,               0.066317,               0.002317,               0.002317
                     37,                 1.4674,                 1.1208,                 1.0704,                0.19648,                0.40613,                 0.2339,                 0.0879,                 2.0877,                 2.4724,                 1.0156,               0.065345,              0.0023447,              0.0023447
                     38,                 1.3313,                 1.1712,                 1.0723,                0.19648,                0.40613,                 0.2339,                 0.0879,                 2.0877,                 2.4724,                 1.0156,                0.06437,              0.0023704,              0.0023704
                     39,                 1.2691,                 1.2723,                 1.0979,                0.19648,                0.40613,                 0.2339,                 0.0879,                 2.0877,                 2.4724,                 1.0156,               0.063394,              0.0023942,              0.0023942
                     40,                 1.5324,                 1.0234,                 1.1542,                0.19648,                0.40613,                 0.2339,                 0.0879,                 2.0877,                 2.4724,                 1.0156,               0.062416,               0.002416,               0.002416
                     41,                 1.4097,                 1.0424,                 1.0226,                0.22031,                0.39464,                0.20681,                0.08882,                 2.0566,                 2.2932,                  1.002,               0.061436,              0.0024358,              0.0024358
                     42,                 1.4952,                 1.0638,                 1.0272,                0.22031,                0.39464,                0.20681,                0.08882,                 2.0566,                 2.2932,                  1.002,               0.060454,              0.0024536,              0.0024536
                     43,                 1.2941,                 1.0797,                 1.1212,                0.22031,                0.39464,                0.20681,                0.08882,                 2.0566,                 2.2932,                  1.002,               0.059469,              0.0024695,              0.0024695
                     44,                  1.419,                 1.1183,                 1.0969,                0.22031,                0.39464,                0.20681,                0.08882,                 2.0566,                 2.2932,                  1.002,               0.058483,              0.0024834,              0.0024834
                     45,                 1.3754,                 1.1233,                 1.1239,                0.51311,                0.40613,                0.20453,                0.09017,                 1.9796,                 2.3733,                0.99739,               0.057495,              0.0024953,              0.0024953
                     46,                 1.3942,                  1.121,                 1.0974,                0.51311,                0.40613,                0.20453,                0.09017,                 1.9796,                 2.3733,                0.99739,               0.056505,              0.0025052,              0.0025052
                     47,                 1.2448,                 1.0786,                 1.0984,                0.51311,                0.40613,                0.20453,                0.09017,                 1.9796,                 2.3733,                0.99739,               0.055513,              0.0025131,              0.0025131
                     48,                 1.3308,                0.97263,                 1.0793,                0.51311,                0.40613,                0.20453,                0.09017,                 1.9796,                 2.3733,                0.99739,               0.054519,               0.002519,               0.002519
                     49,                 1.2997,                0.94323,                 1.0285,                0.58567,                0.39464,                0.19181,                0.08193,                 2.0177,                   2.26,                0.99615,               0.053523,               0.002523,               0.002523
                     50,                 1.4066,                 1.1355,                 1.1912,                0.58567,                0.39464,                0.19181,                0.08193,                 2.0177,                   2.26,                0.99615,               0.052525,               0.002525,               0.002525
                     51,                 1.4104,                   1.06,                  1.059,                0.58567,                0.39464,                0.19181,                0.08193,                 2.0177,                   2.26,                0.99615,               0.051525,               0.002525,               0.002525
                     52,                 1.3878,                 1.2016,                 1.0987,                0.58567,                0.39464,                0.19181,                0.08193,                 2.0177,                   2.26,                0.99615,               0.050523,               0.002523,               0.002523
                     53,                 1.2238,                 1.0879,                 1.0104,                0.58567,                0.39464,                0.19181,                0.08193,                 2.0177,                   2.26,                0.99615,               0.049519,              0.0025191,              0.0025191
                     54,                 1.3415,                 0.9971,                 1.0676,                0.52905,                0.17241,                0.18766,                0.08029,                 1.9896,                 2.2921,                0.99409,               0.048513,              0.0025132,              0.0025132
                     55,                 1.4778,                 1.0655,                   1.04,                0.52905,                0.17241,                0.18766,                0.08029,                 1.9896,                 2.2921,                0.99409,               0.047505,              0.0025053,              0.0025053
                     56,                 1.2538,                 1.0053,                 1.1498,                0.52905,                0.17241,                0.18766,                0.08029,                 1.9896,                 2.2921,                0.99409,               0.046495,              0.0024954,              0.0024954
                     57,                 1.2734,                0.94224,                  1.025,                0.52905,                0.17241,                0.18766,                0.08029,                 1.9896,                 2.2921,                0.99409,               0.045483,              0.0024835,              0.0024835
                     58,                 1.2246,                 1.0936,                0.96995,                0.52905,                0.17241,                0.18766,                0.08029,                 1.9896,                 2.2921,                0.99409,                0.04447,              0.0024696,              0.0024696
                     59,                 1.3367,                 1.0404,                 1.1195,                0.53663,                0.16176,                0.18306,                0.07648,                 2.0034,                  2.099,                0.99868,               0.043454,              0.0024538,              0.0024538
                     60,                 1.2062,                0.88828,                 1.0436,                0.53663,                0.16176,                0.18306,                0.07648,                 2.0034,                  2.099,                0.99868,               0.042436,               0.002436,               0.002436
                     61,                 1.2815,                0.99985,                 1.0717,                0.53663,                0.16176,                0.18306,                0.07648,                 2.0034,                  2.099,                0.99868,               0.041416,              0.0024162,              0.0024162
                     62,                 1.4107,                 1.0972,                 1.0802,                0.53663,                0.16176,                0.18306,                0.07648,                 2.0034,                  2.099,                0.99868,               0.040394,              0.0023944,              0.0023944
                     63,                 1.3447,                0.94447,                 1.0689,                0.53663,                0.16176,                0.18306,                0.07648,                 2.0034,                  2.099,                0.99868,               0.039371,              0.0023707,              0.0023707
                     64,                 1.2393,                0.96756,                 1.0144,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.038345,               0.002345,               0.002345
                     65,                 1.4461,                0.96823,                0.97222,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.037317,              0.0023172,              0.0023172
                     66,                  1.346,                0.93277,                 1.0814,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.036288,              0.0022876,              0.0022876
                     67,                 1.3069,                 0.8571,                 1.0061,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.035256,              0.0022559,              0.0022559
                     68,                 1.1816,                0.83522,                 1.0304,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.034222,              0.0022222,              0.0022222
                     69,                 1.3523,                0.85807,                0.99673,                0.50719,                0.17241,                 0.1903,                0.07693,                 2.0005,                  2.048,                 1.0037,               0.033187,              0.0021866,              0.0021866
                     70,                 1.2991,                0.95548,                0.98765,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.032149,               0.002149,               0.002149
                     71,                 1.3563,                0.88508,                 1.0073,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.031109,              0.0021094,              0.0021094
                     72,                  1.235,                0.90372,                0.98047,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.030068,              0.0020678,              0.0020678
                     73,                 1.2681,                0.99582,                 1.0834,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.029024,              0.0020243,              0.0020243
                     74,                 1.3896,                0.89666,                 1.0283,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.027979,              0.0019788,              0.0019788
                     75,                 1.3899,                0.98116,                 1.2367,                0.51857,                0.16092,                 0.1771,                 0.0782,                 1.9214,                 2.0141,                0.97835,               0.026931,              0.0019313,              0.0019313
                     76,                 1.2367,                0.83917,                 1.0315,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.025882,              0.0018818,              0.0018818
                     77,                 1.2044,                0.84433,                 1.0484,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,                0.02483,              0.0018303,              0.0018303
                     78,                 1.3424,                0.84114,                0.99704,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.023777,              0.0017768,              0.0017768
                     79,                 1.2623,                0.87259,                0.92915,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.022721,              0.0017214,              0.0017214
                     80,                 1.2007,                0.77533,                 1.0299,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.021664,               0.001664,               0.001664
                     81,                 1.3457,                0.86155,                 1.0039,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.020605,              0.0016046,              0.0016046
                     82,                 1.1669,                0.73771,                0.99857,                0.50675,                0.17241,                0.19168,                0.08566,                 1.8687,                  1.946,                0.96266,               0.019543,              0.0015432,              0.0015432
                     83,                 1.2621,                0.80577,                 1.0581,                0.51303,                0.18391,                0.19591,                0.08635,                  1.891,                 1.8776,                 0.9583,                0.01848,              0.0014799,              0.0014799
